"filename", "language", "Log", "HLSL", "JSON", "C#", "XML", "Ini", "ShaderLab", "comment", "blank", "total"
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 183, 8, 50, 241
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 103, 8, 28, 139
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 122, 4, 33, 159
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMP_SDF.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 243, 4, 71, 318
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 97, 0, 20, 117
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMPro.cginc", "HLSL", 0, 63, 0, 0, 0, 0, 0, 2, 20, 85
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMPro_Mobile.cginc", "HLSL", 0, 122, 0, 0, 0, 0, 0, 2, 34, 158
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMPro_Properties.cginc", "HLSL", 0, 62, 0, 0, 0, 0, 0, 10, 14, 86
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Shaders/TMPro_Surface.cginc", "HLSL", 0, 76, 0, 0, 0, 0, 0, 7, 19, 102
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Assets/TextMesh Pro/Sprites/EmojiOne.json", "JSON", 0, 0, 155, 0, 0, 0, 0, 0, 2, 157
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Logs/AssetImportWorker0-prev.log", "Log", 762, 0, 0, 0, 0, 0, 0, 0, 17, 779
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Logs/AssetImportWorker0.log", "Log", 180, 0, 0, 0, 0, 0, 0, 0, 7, 187
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Logs/Packages-Update.log", "Log", 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Logs/shadercompiler-AssetImportWorker0.log", "Log", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Logs/shadercompiler-UnityShaderCompiler0.log", "Log", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Packages/manifest.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"/home/aki/Workplace/Git/The-Sofia/The-Sofia/Packages/packages-lock.json", "JSON", 0, 0, 463, 0, 0, 0, 0, 0, 1, 464
"Total", "-", 994, 323, 663, 1338, 839, 23, 2015, 187, 1011, 7393
